absolute 绝对
abs 绝对值
active 激活
add 加
after 之后
alert 提醒
align 对齐
alpha 图像通道
angular 框架
animate 运动
animation 动画
app 应用
append 添加
arguments 参数
array 数组
array.concat 数组拼接/合并数组
array.join 数组转化为字符串
array.pop 删除数组最后一项
array.push 向数组最后添加一项
array.reverse 反转/颠倒数组
array.shift 删除数组第一位
array.sort 数组排序
array.splice 删除和添加数组元素
array.unshift 向数组前面添加一项
attach 附加
author 作者
auto 自动
background-clip 背景从哪里开切
background-origin 背景从哪里开始
background-position 背景定位
background-repeat 背景平铺
background-size 背景尺寸
background 背景
back 返回
banner 页面上的一个横条
base 里面写清除默认样式的
before 在...之前
bind 绑定
black 黑色
blank 新页面打开
blink 闪烁
block 块
blue 蓝色
blur 失焦
body 主体
bold 粗体
bool 布尔
boolean 布尔
bootstrap 开启应用模式
border-box
border 边框
both 二者都是
bottom 底部
bounce 指数衰减的反弹缓动
bower 工具安装组件
box 盒子
break 中断
Browser-Object-Model 浏览器对象模型
bubble 冒泡
bug 软件程序中的错误
building 建立
bundle 打包
button 按钮
cache 缓存
cancelBubble 取消冒泡
capitalize 首字母大写
case 情况
ceil 向上取整
center 居中
left 居左
right 居右
change 改变
charset 字符集
checked 选中
childNodes 子节点
children 返回子元素
circular 圆形曲线的缓动
clear 清除
click 点击事件
client 客户
clone 克隆
close 关闭
code 代码
color 颜色
column 列
comment 注释
common 公用
complete 完成
component 组件
computed 计算后的
concat 组合数组
config 配置
confirm 确认
console  控制台
constructor 创建
contain 包含
content 内容
continue 继续
controller 控制
cookie 饼干/存储
copyright 版权
copy 复制
count 次数/计数
cover 覆盖
createElement 创建新元素
createTextNode 创建文本节点
cubic 三次方的/立方的
currency 货币
cursor 光标
dashed 虚线
data 数据
data-main 主要数据/初始化接口
Date.now（） 从1970至今的毫秒值
date 时间
date:"" 时间戳转化处理
day 日 获取需要 date
decimal十进制
decodeURIComponent('编码') 编码转化成中文
decode 解码
decoration 装饰
default 不履行/所有情况都不满足的时候走这个
default 不执行
default 默认的
define 定义
definition 定义
delete json.name 删除
delete localStorage.name 删除一条
description 介绍
design设计
detachEvent 删除已注册事件
die() 解除事件委托
directive 指令
display 显示，css的一个属
display 转化显示模式 元素转化
division 分区
document.createElement_x('标签名') 创建元素
document/obj.addEventListener（'不加on的事件名',函数名,false） 添加事件绑定 兼容高级
document/obj.attachEvent（'加on的事件名',函数名） 添加事件绑定 兼容IE系列
document/obj.detachEvent（'加on的事件名',函数名） 解除事件绑定
document/obj.readyState 加载状态
document/obj.removeEventListener（'不加on的事件名',函数名,false） 解除事件绑定
document.scrollLeft 和原生一样
document.scrollTop 和原生一样
document.write（*） 在页面中输入
document文件，文档 dbclick 双击
document文档
document  文档
DOMContentLoaded DOM加载事件
DOMMouseScroll 鼠标滚动事件
DOMReady 页面加载完毕后执行（代码）
DOM 全称Document
dotted 点线
double 双线
do做
dubble 两个/两倍
duration 期间
each 循环
ease-in 加速
ease-out 减速
easing 速度类型
element元素
eletment 元素
el 'id'
else 否则
empty空
encodeURIComponent('中文') 中文转化成编码
encode 编码
enter 进来
equals(a,b) 比较
eq(下标) 标签获取的下标
error 失败
error错误过失
ES6模板字符串
eval（JS可以读懂的代码 如‘1+1’->字符串） 这个代码会把（）里面的字符串换成计算机读懂的代码来计算 + - * % 都行 （计算用的）
eval 解析字符串并运算
eventName 事件名
event 事件
event/自己起行参名字.pageX X轴坐标
event/自己起行参名字.pageY Y轴坐标
even 事件
eve.pageX/Y 坐标
ev.preventDefault() 阻止默认事件 angular
ev.stoppropagation() 阻止冒泡
Exception 异常 意外情况（try---catch）
expires 期限
exponential指数曲线的缓动2.elastic 指数衰减的正弦曲线缓动
exports 导出模块
extend（obj，obj1，obj2。。。） 扩展
extends 延伸 继承
extend() 延伸
fa5 中文
fa5]（或十进制[19968,40869]）
fadeIn 淡入
fadeln 淡入
fadeout淡出
fadeOut 淡出
false 不选中
false 可用
filter alpha（opacity 0-100）
filter 过滤器
find 查找
first第一
fixed 固定定位
fixed 固定的
float 浮动  left|right|none 左|右|不浮动
floor 向下取整
